DATE,MORTGAGE30US
1/1/1971,7.54175
1/1/1972,7.383269231
1/1/1973,8.044807692
1/1/1974,9.187115385
1/1/1975,9.047115385
1/1/1976,8.865849057
1/1/1977,8.845192308
1/1/1978,9.641730769
1/1/1979,11.20365385
1/1/1980,13.74211538
1/1/1981,16.64150943
1/1/1982,16.04365385
1/1/1983,13.23538462
1/1/1984,13.87769231
1/1/1985,12.43019231
1/1/1986,10.18730769
1/1/1987,10.21339623
1/1/1988,10.34173077
1/1/1989,10.31942308
1/1/1990,10.12942308
1/1/1991,9.246538462
1/1/1992,8.390188679
1/1/1993,7.314615385
1/1/1994,8.380769231
1/1/1995,7.934615385
1/1/1996,7.806153846
1/1/1997,7.598846154
1/1/1998,6.942641509
1/1/1999,7.44
1/1/2000,8.053461538
1/1/2001,6.967884615
1/1/2002,6.537307692
1/1/2003,5.826981132
1/1/2004,5.839230769
1/1/2005,5.866730769
1/1/2006,6.413269231
1/1/2007,6.337307692
1/1/2008,6.027169811
1/1/2009,5.036538462
1/1/2010,4.689807692
1/1/2011,4.447884615
1/1/2012,3.6575
1/1/2013,3.975576923
1/1/2014,4.168867925
1/1/2015,3.850576923
1/1/2016,3.654038462
1/1/2017,3.989807692
1/1/2018,4.544615385
1/1/2019,.
