Date,DGORDER
2/29/1992,114535
3/31/1992,120025
4/30/1992,124470
5/31/1992,125822
6/30/1992,122834
7/31/1992,122590
8/31/1992,120411
9/30/1992,120711
10/31/1992,127392
11/30/1992,122374
12/31/1992,126080
1/31/1993,121637
2/28/1993,128854
3/31/1993,126762
4/30/1993,127395
5/31/1993,126529
6/30/1993,130212
7/31/1993,128111
8/31/1993,129378
9/30/1993,127233
10/31/1993,133168
11/30/1993,130391
12/31/1993,133565
1/31/1994,138498
2/28/1994,137141
3/31/1994,136548
4/30/1994,140336
5/31/1994,142630
6/30/1994,145063
7/31/1994,145013
8/31/1994,145884
9/30/1994,145487
10/31/1994,149547
11/30/1994,150038
12/31/1994,152489
1/31/1995,150459
2/28/1995,153856
3/31/1995,152888
4/30/1995,151401
5/31/1995,152838
6/30/1995,150051
7/31/1995,148915
8/31/1995,154372
9/30/1995,160175
10/31/1995,155473
11/30/1995,156146
12/31/1995,163279
1/31/1996,155806
2/29/1996,150773
3/31/1996,164976
4/30/1996,156830
5/31/1996,164502
6/30/1996,164599
7/31/1996,163588
8/31/1996,157310
9/30/1996,165442
10/31/1996,165266
11/30/1996,170783
12/31/1996,162332
1/31/1997,161827
2/28/1997,170221
3/31/1997,167568
4/30/1997,174054
5/31/1997,168586
6/30/1997,174828
7/31/1997,178860
8/31/1997,177302
9/30/1997,177835
10/31/1997,177801
11/30/1997,191187
12/31/1997,173770
1/31/1998,174288
2/28/1998,181270
3/31/1998,176886
4/30/1998,180915
5/31/1998,180634
6/30/1998,172189
7/31/1998,170459
8/31/1998,179033
9/30/1998,181422
10/31/1998,178527
11/30/1998,182400
12/31/1998,178424
1/31/1999,186527
2/28/1999,185546
3/31/1999,184689
4/30/1999,182993
5/31/1999,185963
6/30/1999,182590
7/31/1999,189083
8/31/1999,189414
9/30/1999,188910
10/31/1999,194547
11/30/1999,186597
12/31/1999,196344
1/31/2000,201360
2/29/2000,183911
3/31/2000,192130
4/30/2000,195044
5/31/2000,188606
6/30/2000,219745
7/31/2000,189265
8/31/2000,188730
9/30/2000,199947
10/31/2000,186158
11/30/2000,189392
12/31/2000,188659
1/31/2001,177056
2/28/2001,180276
3/31/2001,182209
4/30/2001,171850
5/31/2001,177749
6/30/2001,176350
7/31/2001,170129
8/31/2001,170484
9/30/2001,164123
10/31/2001,171530
11/30/2001,163811
12/31/2001,165304
1/31/2002,162677
2/28/2002,171841
3/31/2002,168977
4/30/2002,171428
5/31/2002,172069
6/30/2002,166421
7/31/2002,173723
8/31/2002,176728
9/30/2002,166978
10/31/2002,168743
11/30/2002,169790
12/31/2002,163735
1/31/2003,169696
2/28/2003,173699
3/31/2003,173451
4/30/2003,169697
5/31/2003,170878
6/30/2003,174062
7/31/2003,172118
8/31/2003,173335
9/30/2003,178071
10/31/2003,183414
11/30/2003,181835
12/31/2003,181803
1/31/2004,177762
2/29/2004,181298
3/31/2004,191592
4/30/2004,184036
5/31/2004,183806
6/30/2004,185761
7/31/2004,185341
8/31/2004,184338
9/30/2004,188516
10/31/2004,185276
11/30/2004,192224
12/31/2004,193661
1/31/2005,194661
2/28/2005,196411
3/31/2005,186687
4/30/2005,194938
5/31/2005,206262
6/30/2005,209657
7/31/2005,194330
8/31/2005,204929
9/30/2005,203847
10/31/2005,210368
11/30/2005,221178
12/31/2005,220933
1/31/2006,209185
2/28/2006,219562
3/31/2006,227294
4/30/2006,214379
5/31/2006,215341
6/30/2006,220450
7/31/2006,209607
8/31/2006,211167
9/30/2006,235898
10/31/2006,217042
11/30/2006,224474
12/31/2006,230357
1/31/2007,219729
2/28/2007,223319
3/31/2007,229516
4/30/2007,231261
5/31/2007,227483
6/30/2007,228963
7/31/2007,235004
8/31/2007,234619
9/30/2007,227736
10/31/2007,229499
11/30/2007,230732
12/31/2007,243635
1/31/2008,238685
2/29/2008,234706
3/31/2008,231964
4/30/2008,229249
5/31/2008,229007
6/30/2008,228758
7/31/2008,222311
8/31/2008,216189
9/30/2008,212577
10/31/2008,192514
11/30/2008,183384
12/31/2008,173980
1/31/2009,154428
2/28/2009,146911
3/31/2009,144223
4/30/2009,144279
5/31/2009,149944
6/30/2009,145632
7/31/2009,155538
8/31/2009,157289
9/30/2009,158339
10/31/2009,162950
11/30/2009,161489
12/31/2009,160461
1/31/2010,182717
2/28/2010,177528
3/31/2010,179308
4/30/2010,184970
5/31/2010,186143
6/30/2010,187261
7/31/2010,190467
8/31/2010,190754
9/30/2010,200981
10/31/2010,195369
11/30/2010,196200
12/31/2010,195255
1/31/2011,203924
2/28/2011,196057
3/31/2011,210005
4/30/2011,201508
5/31/2011,204988
6/30/2011,200671
7/31/2011,210021
8/31/2011,213471
9/30/2011,208153
10/31/2011,209670
11/30/2011,217280
12/31/2011,226612
1/31/2012,224138
2/29/2012,225611
3/31/2012,219693
4/30/2012,218573
5/31/2012,217304
6/30/2012,218405
7/31/2012,225570
8/31/2012,201041
9/30/2012,216919
10/31/2012,218840
11/30/2012,218004
12/31/2012,230841
1/31/2013,217524
2/28/2013,229875
3/31/2013,210365
4/30/2013,220884
5/31/2013,229745
6/30/2013,240742
7/31/2013,217144
8/31/2013,220311
9/30/2013,231570
10/31/2013,225578
11/30/2013,237523
12/31/2013,230895
1/31/2014,221764
2/28/2014,230566
3/31/2014,232196
4/30/2014,236171
5/31/2014,231129
6/30/2014,236601
7/31/2014,292098
8/31/2014,236723
9/30/2014,235914
10/31/2014,230403
11/30/2014,227376
12/31/2014,224898
1/31/2015,226809
2/28/2015,219658
3/31/2015,227404
4/30/2015,226658
5/31/2015,219158
6/30/2015,228982
7/31/2015,230149
8/31/2015,226234
9/30/2015,220707
10/31/2015,224077
11/30/2015,224638
12/31/2015,220455
1/31/2016,226403
2/29/2016,216390
3/31/2016,215735
4/30/2016,227879
5/31/2016,221175
6/30/2016,208697
7/31/2016,218481
8/31/2016,221428
9/30/2016,219373
10/31/2016,230068
11/30/2016,219741
12/31/2016,222513
1/31/2017,223020
2/28/2017,220970
3/31/2017,227324
4/30/2017,230479
5/31/2017,227750
6/30/2017,244004
7/31/2017,225984
8/31/2017,232140
9/30/2017,243008
10/31/2017,233017
11/30/2017,238226
12/31/2017,245875
1/31/2018,235508
2/28/2018,246039
3/31/2018,252760
4/30/2018,250109
5/31/2018,249374
6/30/2018,251499
7/31/2018,248571
8/31/2018,260223
9/30/2018,260178
10/31/2018,248945
11/30/2018,251197
12/31/2018,254449
1/31/2019,254662
2/28/2019,251416
3/31/2019,257999
